player,price
Scottie Scheffler,12.5
Rory McIlroy,11
Jon Rahm,10.5
Collin Morikawa,10
Ludvig Åberg,10
Xander Schauffele,10
Bryson DeChambeau,10
Justin Thomas,9.5
Joaquín Niemann,9.5
Brooks Koepka,9.5
Hideki Matsuyama,9
Tommy Fleetwood,9
Shane Lowry,9
Patrick Cantlay,9
Jordan Spieth,9
Viktor Hovland,9
Min Woo Lee,9
Russell Henley,8
Tyrrell Hatton,8
Will Zalatoris,8
Robert MacIntyre,8
Cameron Smith,8
Sepp Straka,8
Akshay Bhatia,8
Corey Conners,8
Tony Finau,7
Wyndham Clark,7
Dustin Johnson,7
Sergio Garcia,7
Patrick Reed,7
Jason Day,7
Sahith Theegala,6
Justin Rose,6
Phil Mickelson,6
Brian Harman,6
Tom Kim,6
Sungjae Im,6
Keegan Bradley,6
Daniel Berger,5
Sam Burns,5
Matt Fitzpatrick,5
Adam Scott,5
Maverick McNealy,4
J.J. Spaun,4
Davis Thompson,4
Billy Horschel,4
Aaron Rai,4
Cameron Young,3.5
Thomas Detry,3.5
Taylor Pendrith,3
Byeong Hun An,3
Michael Kim,3
Nicolai Højgaard,3
Denny McCarthy,3
Rasmus Højgaard,2.5
Max Homa,2.5
Lucas Glover,2.5
Laurie Canter,2.5
Harris English,2.5
Max Greyserman,2.5
Nick Taylor,2.5
Christiaan Bezuidenhout,2
Cam Davis,2
Nico Echavarria,2
Austin Eckroat,2
J.T. Poston,2
Stephan Jaeger,2
Tom Hoge,2
Chris Kirk,2
Joe Highsmith,2
Nick Dunlap,1.5
Charl Schwartzel,1.5
Kevin Yu,1.5
Matt McCarty,1.5
Matthieu Pavon,1.5
Jhonattan Vegas,1.5
Davis Riley,1.5
Danny Willett,1.5
Bubba Watson,1.5
Thriston Lawrence,1.5
Adam Schenk,1.5
Patton Kizzire,1.5
Brian Campbell,1
Zach Johnson,1
Zach Johnson,1
Ángel Cabrera,1
Bernhard Langer,1
Rafael Campos,1
Evan Beck,1
Jose Luis Ballester,1
Hiroshi Tai,1
Noah Kent,1
Fred Couples,1
Vijay Singh,1
Mike Weir,1
José María Olazábal,1
